Category,Name,Sales_2026
Булки,Бейгл 100,4009.0
Булки,Бриошь ревень-клубника,791.0
Булки,Булка миндаль шоколад,263.0
Булки,Булка с кардамоном,1833.0
Булки,Булка с корицей,1464.0
Булки,Булка с маком,3317.0
Булки,Булка с тхиной,1588.0
Булки,Кунжутная булка,948.0
Выпечка,Аманн,3533.0
Выпечка,Бабка Кардамон,1.0
Выпечка,Бабка Корица,88.0
Выпечка,Бабка Мак,251.0
Выпечка,Бабка корица и карамель,307.0
Выпечка,Даниш вишня,794.0
Выпечка,Даниш франжипан грецкий орех,516.0
Выпечка,Даниш яблочный пирог с заварным кремом,184.0
Выпечка,Кекс мак-лимон,996.0
Выпечка,Кекс морковный без глазури,0.0
Выпечка,Кекс морковный с карамельной глазурью,126.0
Выпечка,Кекс шоколад с кремом вареная сгущенка,1213.0
Выпечка,Круассан 75г,2224.0
Выпечка,Маритоццо ваниль-мисо карамель,30.0
Выпечка,Морнинг бан Жасмин,0.0
Выпечка,Морнинг бан жасмин,2300.0
Выпечка,Ромовая баба,30.0
Выпечка,Синнабоны шоколад-пекан-карамель,1364.0
Выпечка,Улитка заварной крем и изюм,493.0
Выпечка,Улитка с беконом,280.0
Выпечка,Хани баттер тост,496.0
Десерты,Паштель де ната,1767.0
ПФ Булки,ПФ Булка корица,600.0
ПФ Булки,ПФ Булка тхина,340.0
ПФ Булки,ПФ бейгл 100,270.0
ПФ Булки,Пф Булка миндаль шоколад,192.0
ПФ Выпечка,ПФ Аманн,622.0
ПФ Выпечка,ПФ Даниш,450.0
ПФ Выпечка,ПФ Даниш отпечённый,467.0
ПФ Выпечка,ПФ Даниш отпечённый с курдом,259.0
ПФ Выпечка,ПФ Морнинг бан жасмин,282.0
ПФ Выпечка,ПФ синнабон,135.0
ПФ Печенье,ПФ печенье финик-пекан,580.0
ПФ Печенье,ПФ печенье шоколад-соль,975.0
ПФ Печенье,Пф Фисташковое печенье,140.0
ПФ Тесто,Тесто Бриошь 1кг,118.0
ПФ Тесто,Тесто Фокачча 1кг,234.0
Печенье,Печенье для собак,1020.0
Печенье,Печенье финик-пекан,654.0
Печенье,Печенье фисташка,51.0
Печенье,Печенье шоколадное с солью,1277.0
Полуфабрикаты,Горчица пф,0.0
Полуфабрикаты,Дижонская горчица п/ф (100),0.0
Полуфабрикаты,Квашеная капуста пф,0.0
Полуфабрикаты,Кимчи джем 200 г,12.0
Полуфабрикаты,ПФ Ганаш бобы тонка (100г),60.0
Полуфабрикаты,ПФ Круассан,450.0
Полуфабрикаты,ПФ тесто на паштель (шт),98.0
Пф Булки,ПФ Булка кардамон,590.0
Хлеб,Багет,1722.0
Хлеб,Бородинский хлеб,206.0
Хлеб,Бриошь 10х10,24.0
Хлеб,Бриошь с шапкой,588.0
Хлеб,Ржаной хлеб с мисо пастой и семечками,66.0
Хлеб,"Тартин 0,75",1389.0
Хлеб,"Тартин 1,5",1200.0
Хлеб,Тартин гречка,969.0
Хлеб,Фокачча 400х600,282.0
Хлеб,Фокачча GN 1/3,1.0
Хлеб,Фокачча GN 2/3,3.0
